timedelta,rangeDiff,batteryPctDiff,distance,temperature
46,33,12,12.6696,10.5
16,5,6,4.3617,3.5
17,3,5,3.9951999999999996,4.2
15,25,13,0.0304,4.5
24,11,8,7.5195,2.5
20,38,4,4.8847,10.3
22,3,4,5.7715,5.4
11,14,5,4.448,4.7
8,5,2,1.3452,7.0
13,28,3,4.1316999999999995,4.1
29,19,9,3.3507,9.4
13,-15,6,0.5879,3.6
17,8,8,8.0728,3.9
23,19,11,10.6287,4.3
23,37,8,6.3036,8.1
40,74,32,12.595,6.4
32,11,9,5.8996,3.6
21,59,30,26.3947,2.5
14,7,3,1.9209,10.4
18,60,21,0.2968,7.2
16,5,6,8.057,2.6
33,19,9,4.168399999999999,3.4
43,46,21,3.3011999999999997,5.4
27,24,15,10.9465,2.5
17,3,5,5.663600000000001,11.4
13,10,6,3.02,4.5
4,1,2,1.5593,3.0
11,3,4,3.2580999999999998,4.2
12,7,4,2.4492,9.6
18,8,5,5.294899999999999,11.2
13,10,7,5.6752,7.5
14,22,11,7.6854,8.3
32,20,12,12.037,5.1
21,11,7,4.2791999999999994,4.6
23,5,9,7.4908,5.9
12,11,6,2.7752,8.2
18,16,8,7.431,3.1
15,10,7,9.4805,7.8
21,39,11,8.1885,4.4
34,-25,9,5.9574,7.0
7,4,5,3.9996,7.7
13,-4,6,3.8108,3.6
15,18,10,6.924300000000001,4.5
7,-18,2,1.3515,9.2
12,6,6,7.278899999999999,4.7
35,-26,12,8.462399999999999,5.8
12,32,4,5.9276,6.4
13,2,0,0.8665,7.5
50,53,31,14.6842,4.6
26,29,17,0.037899999999999996,9.3
16,14,5,4.6888000000000005,3.4
25,23,10,8.2017,4.2
3,2,1,0.7312000000000001,4.5
3,2,1,0.15990000000000001,7.6
9,15,2,2.2896,8.5
15,47,5,3.4924,7.5
8,5,1,1.9069,7.9
23,3,2,2.1874000000000002,5.9
31,16,17,10.709200000000001,1.2
37,23,14,7.7991,3.7
4,1,1,0.3466,12.2
18,39,12,0.3353,4.3
38,19,12,5.9463,7.8
35,15,7,3.288,1.2
11,26,8,4.1023000000000005,5.0
36,15,7,3.7327,4.4
16,-5,3,4.0710999999999995,11.5
7,-4,3,1.5807,11.5
16,15,8,6.2463,6.3
9,17,12,0.24559999999999998,4.6
21,12,7,2.4831,6.3
52,8,12,0.1119,6.5
18,-6,11,12.4245,2.7
17,10,6,5.2701,6.0
37,71,36,0.07859999999999999,4.7
35,54,7,3.1491,4.5
46,32,15,13.696200000000001,8.3
17,10,6,6.377,6.7
7,4,4,3.5901,11.4
21,27,16,16.723,4.4
44,55,46,3.2487,3.9
59,18,6,0.5816,5.6
29,34,6,3.7352,4.4
27,23,14,7.21,12.1
39,48,27,10.3527,5.8
17,5,4,5.4515,9.9
37,11,12,4.8805,4.4
25,5,6,7.3455,11.9
1,1,1,0.4712,4.3
9,5,2,2.8945,9.8
16,16,11,7.0628,3.0
20,4,8,7.9222,3.3
20,22,9,3.5951,5.9
3,28,30,9.7858,14.2
6,5,4,3.331,4.7
31,35,27,1.0826,9.2
31,30,14,5.8705,6.1
19,37,7,0.15180000000000002,7.7
14,8,4,4.006,6.0
12,10,7,3.6055,2.6
25,1,7,6.865600000000001,6.4
16,5,6,0.0134,5.5
5,-1,1,1.6753,7.8
12,0,5,2.7763,5.5
17,7,7,7.035,1.4
4,79,44,0.7946,13.6
1,0,0,0.0,7.9
30,14,6,6.4995,4.7
42,38,15,7.8006,5.2
15,5,8,0.1189,6.6
4,3,2,0.4737,4.6
22,18,8,4.9219,4.6
15,18,8,3.0415,4.1
9,0,3,3.2738,9.3
18,4,2,0.41919999999999996,11.4
17,6,7,4.6618,4.0
17,38,3,1.7445,9.9
7,7,7,4.474,3.4
4,3,1,0.7232999999999999,3.7
8,22,7,3.5341,10.7
5,2,1,2.1358,4.8
5,39,0,2.4732,3.3
10,3,2,1.5387,1.7
41,36,24,0.0050999999999999995,3.7
8,4,4,3.4356999999999998,7.7
21,14,9,9.7889,2.2
20,8,7,3.4556999999999998,7.6
9,8,5,3.4699,5.8
16,5,6,5.7896,5.2
11,5,5,2.8236,8.0
5,1,1,0.0,9.3
15,4,3,3.6541,7.9
21,8,7,2.473,5.8
49,-1,11,0.036,7.9
11,32,20,1.007,5.5
2,10,1,0.5295,0.0
11,8,4,2.0526,2.6
40,20,11,0.0693,5.1
7,4,1,1.0715,4.6
12,12,5,5.025,5.3
12,7,6,4.447,4.3
9,35,5,3.793,4.2
14,13,7,4.7171,3.8
6,40,2,1.9055,4.8
23,5,7,4.5568,2.8
22,19,11,7.43,0.9
23,39,13,10.24,3.1
27,35,6,0.0017,2.1
4,6,2,1.6227,6.5
35,16,9,7.6145,11.4
11,5,3,0.587,7.8
25,9,9,9.7192,10.8
18,7,4,0.0024,8.2
3,10,2,0.8237000000000001,8.0
16,28,24,10.485,4.7
11,8,5,2.1993,7.6
11,7,4,2.5837,8.2
1,29,17,0.9892000000000001,2.8
15,3,4,0.005,9.2
24,13,6,1.7734,2.7
44,-28,8,2.248,0.1
6,9,4,1.767,2.2
26,15,5,3.1264000000000003,4.4
40,9,12,10.9765,9.3
4,6,4,3.2026999999999997,3.8
32,47,15,16.0356,4.1
41,22,18,3.0508,8.7
0,36,16,0.6947000000000001,5.2
6,26,7,2.6656999999999997,0.9
13,15,2,0.0198,9.2
13,16,6,4.605,8.4
11,34,1,1.1817,12.8
34,48,27,0.0067,4.1
14,43,9,0.3237,3.6
3,4,1,0.9641000000000001,5.1
16,17,7,6.989,8.0
32,73,35,0.31810000000000005,4.8
13,5,2,3.675,7.2
5,9,2,1.7978,5.2
1,46,13,8.291,2.0
11,8,4,4.1503000000000005,7.7
54,18,10,5.644,10.8
50,14,9,1.3195999999999999,4.8
4,5,2,1.3848,7.2
13,9,7,5.179399999999999,6.6
50,38,20,5.1659,4.7
11,-7,3,3.3568000000000002,4.0
17,15,6,4.349,5.2
3,12,0,0.0,4.0
50,9,11,0.0161,5.0
12,11,6,3.3935999999999997,5.2
15,40,15,16.1692,6.5
9,45,3,3.5418000000000003,6.2
9,5,3,2.9506,4.8
18,20,14,7.9488,5.1
18,20,9,8.3757,3.3
