distance,timedelta,temperature
1.1295,40,3.2
4.7258000000000004,14,3.7
3.574,7,9.3
0.0725,13,7.6
0.8258,19,4.7
4.5337,12,5.5
2.2349,8,2.2
2.9863000000000004,30,5.1
5.576,14,3.4
4.1713000000000005,23,0.5
1.7555,42,5.0
3.8251999999999997,16,2.1
0.2682,19,-0.2
6.6648000000000005,13,4.7
2.8279,10,5.6
7.982600000000001,12,3.6
0.3851,37,4.4
11.2202,23,1.2
7.1232,19,5.3
7.317,26,6.0
5.762,10,7.3
0.0167,22,7.9
2.813,7,11.6
1.6673,19,4.8
2.8345,13,2.6
11.6744,44,10.2
9.7866,35,6.3
5.1726,14,2.8
0.0116,41,3.0
3.0345,41,7.6
6.608899999999999,15,7.5
0.5686,31,0.3
0.0,0,3.6
0.1724,10,4.0
3.1134,10,5.1
6.7906,18,7.2
0.0503,8,2.2
7.494800000000001,18,1.4
4.4818,8,9.1
0.0015,7,9.5
0.0,0,4.6
3.3648000000000002,21,6.3
3.6551,44,4.4
2.5304,8,12.2
4.5253000000000005,24,6.4
7.7633,12,2.8
2.5299,11,3.3
0.0065,10,2.4
0.068,15,5.8
1.3411,10,5.0
6.6255,12,4.1
4.8641000000000005,41,7.3
4.7894,15,10.0
0.5842,45,9.0
2.2743,8,9.0
5.499,26,4.6
4.442399999999999,36,7.9
5.1803,29,11.5
6.5058,9,8.2
0.6856,7,1.3
1.3069000000000002,15,4.8
3.8325,26,6.5
3.2116,12,10.0
2.686,11,2.1
7.1756,46,4.5
0.2676,24,4.2
11.6935,29,6.3
3.4785,10,6.0
3.8146999999999998,8,4.3
0.0,15,7.6
4.6819,34,1.4
9.4133,15,1.1
10.339,25,6.8
2.8806,11,5.2
2.9316999999999998,7,7.5
11.7534,27,2.7
2.504,5,0.3
3.0696999999999997,14,2.7
5.3212,31,7.7
8.0083,16,7.5
3.0085,16,7.3
1.2691,3,6.7
0.4671,40,3.7
6.5688,21,9.4
7.4906999999999995,16,5.4
7.2381,22,3.7
4.7242,12,6.2
0.0,22,5.9
6.4395,12,2.0
11.792,28,3.9
6.7947,24,3.0
2.0945,9,9.5
1.2842,12,6.9
1.1291,5,5.1
2.7546999999999997,8,13.9
2.5899,13,2.1
6.2021999999999995,11,5.3
2.8964000000000003,24,4.5
