distance,timedelta,temperature
8.0526,16,9.3
3.5906,17,2.7
0.0003,35,13.9
7.4908,23,5.9
4.2493,12,1.3
3.8765,45,4.1
2.0575,8,12.6
1.3828,7,10.8
4.5739,17,5.2
15.1296,22,6.9
3.957,9,8.4
4.793,11,3.9
0.0496,23,8.8
2.9375,38,11.4
6.144,18,9.2
5.905600000000001,22,7.8
0.021,16,3.7
2.481,7,2.9
0.0,0,7.6
0.351,33,4.6
5.4075,16,4.8
0.0077,13,3.8
2.8974,16,7.2
0.008400000000000001,7,7.7
4.4576,11,3.7
3.1700999999999997,28,5.9
0.0,2,7.7
0.0,0,11.9
1.9075,4,4.2
0.0021000000000000003,10,9.2
3.0118,6,9.4
7.627,16,4.7
3.045,19,7.7
3.3973,17,12.5
4.1206000000000005,35,3.9
7.4129,38,6.2
6.6829,23,4.3
4.7999,18,7.5
0.07390000000000001,5,13.3
5.576899999999999,25,7.8
3.761,15,6.2
6.1544,7,5.7
0.295,25,7.3
1.1151,13,7.2
7.4714,21,5.8
3.7454,9,4.3
3.6846,9,5.3
2.3433,45,6.4
3.1108000000000002,15,2.8
0.0,8,7.5
1.2249,4,8.2
11.1811,38,2.6
1.715,8,5.8
2.0561,13,4.7
6.2431,21,7.2
2.6406,10,14.7
4.1434,13,11.5
3.7755,17,4.2
3.1378000000000004,10,6.6
2.1721,16,8.2
3.7914,12,2.3
3.8214,11,2.5
5.5841,10,1.8
6.7187,25,4.2
12.9073,21,4.4
0.0006,13,7.9
0.8875,53,10.7
0.9759,3,6.4
2.4823000000000004,6,8.7
2.9384,10,4.0
0.0,0,5.4
0.0,5,9.3
0.0,0,2.6
0.0,3,6.2
0.2155,6,6.0
1.7709000000000001,42,9.0
5.0715,41,4.7
6.864199999999999,21,3.9
1.8094000000000001,8,11.5
6.1245,17,4.1
2.942,11,1.2
6.5255,10,1.3
2.9704,22,4.5
0.9132,25,8.2
0.9924,35,6.3
0.0,0,5.1
5.2143999999999995,10,6.7
5.6004,12,10.0
8.5257,20,9.4
0.0144,44,0.7
0.0,1,5.3
7.684399999999999,21,7.1
0.0,0,4.5
1.8595,7,4.5
6.5918,17,9.0
9.0239,10,4.2
4.3101,31,3.6
2.7441999999999998,8,13.2
3.4,12,7.0
1.5999,6,5.8
6.067699999999999,11,7.6
0.019600000000000003,30,4.7
3.8289,12,4.4
1.3737000000000001,5,4.4
9.135399999999999,21,4.6
0.0,0,1.5
4.437600000000001,20,2.0
8.597,18,2.9
3.4956,12,3.4
3.405,20,2.0
0.0,0,1.8
0.0077,47,4.4
2.017,8,7.9
2.2432,10,4.6
3.4453,8,9.0
5.0083,9,5.1
2.8925,22,10.2
4.0865,9,13.4
0.0,7,5.2
1.7528,11,3.5
4.958399999999999,14,9.8
7.3806,16,2.4
1.3395,10,7.8
3.242,7,4.3
1.8197,8,2.1
13.0707,50,7.8
6.4998000000000005,15,5.1
6.016100000000001,9,3.6
7.8054,22,4.7
5.5407,17,2.6
7.4758000000000004,16,5.2
0.0119,6,2.0
2.8647,10,3.3
1.5325,7,10.3
7.6268,14,7.5
1.2651,45,7.5
8.1108,28,0.2
5.7862,22,1.4
6.2076,49,5.1
4.0694,27,7.4
4.2713,20,2.0
1.3859000000000001,4,4.6
1.3195999999999999,50,4.8
11.7294,37,7.9
0.5307000000000001,0,4.5
3.5099,8,4.3
2.6934,42,5.8
5.692399999999999,12,2.3
3.6055,12,2.6
2.2624,13,5.6
4.9718,17,5.3
0.7376,3,8.1
7.0272,19,10.3
2.6431,8,1.2
4.9808,15,3.8
0.583,13,6.7
3.6406,10,4.4
6.0585,14,8.4
2.6464000000000003,15,5.2
0.6638,10,6.2
0.0,7,2.0
2.0629,6,10.4
2.3821,3,6.3
0.1426,19,10.9
0.008400000000000001,8,8.1
10.0782,25,1.1
1.8796,8,9.4
4.4635,16,6.4
0.26030000000000003,12,2.7
2.325,11,5.1
10.0431,46,10.3
6.0381,17,5.1
6.2889,31,4.3
0.0245,51,5.0
1.1595,2,7.2
2.5322,7,7.8
4.5166,19,7.5
20.2589,23,2.8
1.1391,13,6.7
2.8036999999999996,16,9.0
5.269699999999999,11,5.4
3.1849000000000003,29,4.6
9.0981,31,2.7
2.1795999999999998,31,6.3
4.331300000000001,26,8.6
0.2238,26,4.1
12.562,16,3.9
0.32939999999999997,5,9.3
3.6648,9,1.4
1.8693,4,7.0
2.5993000000000004,22,5.3
2.9897,56,2.7
10.766399999999999,41,4.1
11.3819,14,1.3
17.8245,54,10.3
4.3202,29,4.7
0.3267,2,2.9
9.428600000000001,37,8.9
7.4395,17,1.3
2.1834000000000002,10,2.2
2.6187,10,4.4
1.4156,11,8.6
3.6479,9,4.0
2.3834,24,4.0
0.0,3,9.2
0.0018,16,8.5
4.838100000000001,31,5.3
2.7765999999999997,10,10.5
6.367,20,6.2
0.0,4,7.9
8.1478,50,7.6
0.6707000000000001,6,5.2
2.956,12,7.9
3.0793000000000004,18,5.5
8.4536,20,4.8
5.961399999999999,14,7.5
7.2599,26,4.7
0.0596,20,3.5
7.3266,19,2.6
1.8802999999999999,7,5.7
0.018600000000000002,12,4.5
7.9557,12,5.0
3.1409000000000002,9,10.2
0.296,35,7.5
4.9698,14,8.7
1.562,7,4.6
5.677,15,7.5
0.0,6,9.2
8.158199999999999,19,6.7
0.0536,23,4.9
4.4748,11,1.8
3.9438,8,7.0
0.0175,27,10.3
2.9691,13,6.3
0.5983999999999999,3,2.2
5.423,20,8.7
0.2429,34,3.9
6.684699999999999,16,8.4
4.7416,15,5.6
0.0,6,9.3
11.6039,32,3.4
2.5852,19,9.4
1.3248,10,5.0
0.0086,13,3.6
12.0921,17,5.6
0.008199999999999999,59,5.1
1.7734,33,0.8
3.3189,19,12.4
4.3453,37,7.8
9.329,16,4.9
5.573600000000001,33,4.9
4.9989,15,2.5
5.832199999999999,20,3.8
4.4775,12,3.7
4.9392,19,2.9
4.0248,23,3.9
4.2666,10,3.4
2.3867,8,0.6
13.593399999999999,24,11.9
1.1445,9,6.4
0.8105,9,5.0
8.2711,27,4.6
1.6695,6,5.2
1.437,18,7.3
0.42869999999999997,5,2.8
2.5776999999999997,10,4.3
2.9925,8,3.4
1.141,17,2.8
3.8588,25,2.8
8.8401,14,2.5
11.5754,29,4.8
3.4042,14,4.2
2.1572,7,1.4
8.694799999999999,37,2.7
0.9332,25,7.4
4.2364,17,5.8
0.0,4,1.2
0.0,2,11.4
0.8445,4,8.6
13.2156,35,5.1
0.5762999999999999,10,3.6
0.0019,31,3.1
3.2676999999999996,6,6.0
12.9854,0,4.4
2.3571,12,9.0
0.7293,5,10.6
0.4172,18,4.2
2.1738000000000004,8,7.6
3.4419,26,3.5
3.6696,12,4.2
2.9624,18,4.2
0.0015,10,4.4
0.1409,57,2.4
3.9358,20,3.9
0.4783,15,4.5
11.259,22,8.6
0.0,13,3.9
3.25,15,6.9
2.7956999999999996,9,2.2
2.2195,15,2.0
1.5848,16,9.3
8.2629,21,3.3
2.6229,12,8.9
0.8307,21,9.0
4.3122,15,0.4
4.487,12,6.6
0.0121,41,4.8
4.0793,11,2.6
6.2341999999999995,17,4.5
3.2369,22,5.8
3.1033000000000004,14,7.4
6.182600000000001,54,2.6
1.935,21,7.6
4.269399999999999,18,4.6
11.886700000000001,54,4.9
3.2738,9,9.3
2.2716,7,5.8
2.8928000000000003,13,9.2
6.0376,18,3.7
0.0,10,5.3
1.3522,19,5.0
5.8457,18,4.8
2.7629,13,4.8
6.730899999999999,21,5.2
7.4947,26,6.5
6.5235,18,4.5
6.4815,19,4.4
7.7188,19,7.6
0.5953999999999999,2,10.4
2.2099,12,4.6
5.3981,13,5.9
4.0821,15,6.2
5.2387,26,6.7
0.5295,2,0.0
9.3575,17,2.4
1.3356,4,6.1
0.0064,29,5.4
0.7312000000000001,16,5.9
11.5402,25,6.5
0.5029,3,4.4
2.772,10,2.7
4.5091,18,4.3
0.0,23,14.0
2.2762,9,4.7
7.9514,26,0.4
4.178100000000001,21,4.9
3.0591999999999997,6,0.1
10.1783,24,6.6
0.0025,12,9.2
0.0,0,7.8
2.4518,14,6.0
1.2499,56,8.1
6.3677,21,5.5
2.4046,8,4.2
8.4722,21,5.1
0.0522,8,5.1
2.3155,8,2.6
12.9817,13,9.9
5.1036,25,7.9
3.8853,8,4.7
5.4369,16,2.7
4.3296,31,7.4
3.8469,6,4.8
7.2199,26,6.3
1.9972999999999999,5,5.7
1.1305,4,7.8
4.8821,9,1.8
1.0688,3,2.1
4.0093000000000005,26,7.9
7.707199999999999,55,6.0
7.6733,14,10.4
1.7698,8,11.4
2.2765,10,3.2
7.9493,26,4.6
1.0225,52,6.3
5.662100000000001,31,4.7
10.336,29,2.5
4.7726999999999995,15,5.0
3.2079,15,7.7
4.8351999999999995,58,7.4
3.148,13,13.4
0.15209999999999999,11,3.7
0.0026,37,9.5
4.9607,14,4.6
3.427,9,11.3
2.9642,13,9.2
0.0,5,7.6
0.0085,35,4.6
0.9776,22,4.2
6.1885,26,3.6
0.0003,14,5.9
4.1479,10,7.9
13.0253,23,5.3
7.408399999999999,26,1.9
4.1659,15,14.0
0.0322,9,2.1
0.0,0,4.7
6.7623999999999995,15,4.6
0.9767,2,4.3
1.4858,3,7.3
2.6475999999999997,10,0.1
3.2311,9,5.5
8.482,35,4.8
4.0943000000000005,10,5.3
2.8651,13,4.9
0.004200000000000001,12,0.9
6.315600000000001,56,4.8
2.4547,11,6.3
9.931700000000001,18,0.8
4.9012,15,4.1
0.014,44,5.6
2.0621,13,3.7
3.4965,21,12.5
3.2528,9,9.4
0.6182000000000001,3,2.9
2.3803,10,4.5
0.6712,1,2.7
0.15430000000000002,2,4.4
2.6713,8,7.5
3.2211999999999996,14,7.7
0.0045,28,7.8
25.7167,44,9.4
1.7435,38,8.0
4.0111,13,3.6
3.8948,29,4.5
0.6734,17,4.9
0.3578,3,3.4
5.6471,18,7.8
0.0,2,7.5
0.2085,28,2.6
6.365399999999999,28,6.4
1.0475,6,3.7
0.36419999999999997,9,11.7
5.067399999999999,12,6.3
3.1138000000000003,23,1.4
1.1589,4,4.7
3.4498,12,4.3
4.483899999999999,17,3.2
