distance,timedelta,temperature
2.5040999999999998,10,8.6
0.008,13,5.3
7.6269,32,6.3
0.2204,28,8.2
0.2896,44,4.2
7.1373999999999995,30,0.6
7.3058000000000005,17,4.7
7.323600000000001,20,14.0
4.2465,14,5.2
6.2663,17,7.8
0.4112,8,4.4
0.0089,38,7.9
4.8021,26,4.9
2.209,29,8.1
2.8156,16,3.6
8.854299999999999,40,8.6
2.6679,3,1.4
0.0002,4,2.8
3.0011,17,5.0
3.1096,8,9.6
11.6344,36,2.4
13.4921,29,2.0
4.4749,12,5.1
8.3925,17,12.9
0.0,10,7.7
0.2206,12,7.7
7.9405,21,6.2
1.6697,49,6.4
8.7011,26,2.9
3.4227,18,4.7
11.492899999999999,22,2.7
0.0033,31,2.5
0.9122,21,2.1
0.0,0,10.8
3.0314,7,3.4
8.4212,18,0.3
3.5468,30,4.5
8.719299999999999,18,9.6
3.7394000000000003,11,4.6
2.7869,8,8.1
5.8148,54,11.6
7.6967,19,8.7
9.901,21,4.6
9.079799999999999,27,5.8
4.134600000000001,20,7.8
14.2544,38,3.3
3.5576,14,4.6
0.19269999999999998,45,7.9
4.4321,26,4.6
11.864799999999999,34,7.6
7.646199999999999,12,6.0
1.9984000000000002,45,4.3
5.3202,18,4.4
5.8134,15,12.2
0.3108,16,7.6
2.6003000000000003,26,4.8
0.0037,53,4.9
10.82,35,3.7
0.5196000000000001,12,10.2
12.939200000000001,32,7.4
1.203,7,4.0
0.0,0,4.3
0.011699999999999999,57,5.3
2.3646,57,5.0
0.0288,1,9.0
5.2605,14,7.4
10.3013,25,4.8
6.1215,38,6.0
1.3068,15,13.6
7.587,27,2.9
6.1774,42,4.2
0.5574,19,5.4
8.6682,9,-0.7
6.2353000000000005,25,4.4
9.366200000000001,32,3.1
0.0,3,4.7
3.475,9,6.7
1.3037999999999998,5,9.2
2.7223,8,13.0
2.9453,7,4.4
10.1022,16,6.7
0.4161,13,11.5
0.0304,8,7.3
7.9348,12,3.5
0.0,10,2.7
3.1811,27,3.7
2.2041,9,13.9
6.8807,17,5.3
1.3219,5,6.0
5.897399999999999,9,1.1
11.8702,28,13.0
0.0446,1,1.1
0.0039,26,3.6
6.0476,26,4.5
3.0979,8,7.9
10.340200000000001,22,5.0
4.0649,13,4.8
4.9982,24,4.5
3.3741,12,7.8
4.2652,15,3.2
3.597,22,3.5
5.4401,17,11.5
0.0141,31,5.8
3.2431,12,8.2
4.1653,12,7.6
2.2734,8,4.5
7.0604,13,4.7
5.9173,49,4.2
0.0028,7,7.9
1.9489,23,1.8
8.8171,22,2.7
11.933399999999999,26,3.4
15.8337,32,6.1
3.6786999999999996,14,4.6
0.7524,2,1.0
8.3628,20,7.9
2.4694000000000003,8,5.1
2.8015,10,2.7
5.0793,26,7.9
0.0014,39,4.5
2.0214000000000003,4,4.2
0.0025,13,3.5
5.571899999999999,14,3.0
7.9118,15,0.0
1.2995999999999999,6,0.4
2.377,11,10.2
7.187,30,8.7
2.4268,18,2.1
5.4661,11,2.1
8.323,21,3.8
1.866,5,1.9
2.3697,11,2.7
9.04,0,5.8
1.043,10,7.4
0.5862999999999999,13,5.2
4.5921,14,8.7
12.6072,52,9.1
0.0038,8,6.8
4.1267,15,5.8
1.0851,21,3.7
